Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0320197R;Ecole primaire publique;Ecole;Public;9 rue Porto de Bach;;32550 PESSAN;32550;32312;Pessan;032;16;76;1;1;;;;0562632824;;;ce.0320197R@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320312800029;66;;43.62129170257103,0.6492603370063963;SANS OBJET;Gers;Toulouse;Occitanie;510231.3;6283074.1;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Sud;43.62129170257103;0.6492603370063963;Numéro de rue;1968-12-11;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320006H;;;16112;AUCH
0320206A;Ecole élémentaire publique;Ecole;Public;AU VILLAGE;;32130 POMPIAC;32130;32322;Pompiac;032;16;76;0;1;;;;0532075964;;;ce.0320206A@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320322700029;25;;43.513158111663614,1.0053894085860275;SANS OBJET;Gers;Toulouse;Occitanie;538670.4;6270268.6;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.513158111663614;1.0053894085860275;Ville;1968-12-05;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;032005;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320031K;;;16112;AUCH
0320214J;Ecole élémentaire publique;Ecole;Public;Avenue Victor Capoul;;32600 PUJAUDRAN;32600;32334;Pujaudran;032;16;76;0;1;;;;0562074673;;;ce.0320214J@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320334200026;112;;43.59069444621954,1.149569545741309;SANS OBJET;Gers;Toulouse;Occitanie;550531.8;6278600.0;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.59069444621954;1.149569545741309;Numéro de rue;1968-11-29;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320740F;;;16112;AUCH
0320216L;Ecole primaire publique;Ecole;Public;2 place 19 Mars AU VILLAGE;;32120 PUYCASQUIER;32120;32335;Puycasquier;032;16;76;1;1;;;;0562651808;;;ce.0320216L@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320335900038;58;;43.74538572055437,0.7489767944053511;SANS OBJET;Gers;Toulouse;Occitanie;518672.0;6296625.0;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.74538572055437;0.7489767944053511;Numéro de rue;1968-11-26;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320562M;;;16112;AUCH
0320255D;Ecole élémentaire publique;Ecole;Public;Route du Village;;32110 ST GRIEDE;32110;32380;Saint-Griède;032;16;76;0;1;;;;0562090495;;;ce.0320255D@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320380500022;23;;43.72660269648958,-0.09359943478825623;SANS OBJET;Gers;Toulouse;Occitanie;450747.7;6296836.1;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.72660269648958;-0.09359943478825623;Numéro de rue;1968-12-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;032218;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320027F;;;16113;CONDOM
0320262L;Ecole maternelle publique;Ecole;Public;Route du Village;;32110 ST MARTIN D ARMAGNAC;32110;32390;Saint-Martin-d'Armagnac;032;16;76;1;0;;;;0562690155;;;ce.0320262L@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320390400023;32;;43.71351520193063,-0.06355940502996488;SANS OBJET;Gers;Toulouse;Occitanie;453110.4;6295288.4;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.71351520193063;-0.06355940502996488;Numéro de rue;1968-12-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;032218;101;ECOLE MATERNELLE;99;0320027F;;;16113;CONDOM
0320276B;Ecole primaire publique;Ecole;Public;AU VILLAGE;;32270 ST SAUVY;32270;32406;Saint-Sauvy;032;16;76;1;1;;;;0562659200;;;ce.0320276B@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320406800026;30;;43.693650055704204,0.8205894586374635;SANS OBJET;Gers;Toulouse;Occitanie;524280.5;6290715.9;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.693650055704204;0.8205894586374635;Ville;1968-11-29;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;032003;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320562M;;;16112;AUCH
0320280F;Ecole élémentaire publique Yves Chaze;Ecole;Public;Place des Cordeliers;;32130 SAMATAN;32130;32410;Samatan;032;16;76;0;1;;;;0562623108;;;ce.0320280F@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320410000027;159;;43.490772203806394,0.9295036891054563;SANS OBJET;Gers;Toulouse;Occitanie;532468.7;6267939.3;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.490772203806394;0.9295036891054563;Rue;1968-12-05;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320031K;;;16112;AUCH
0320282H;Ecole primaire publique;Ecole;Public;Place Saint-Joseph;;32450 SARAMON;32450;32412;Saramon;032;16;76;1;1;;;;0562654812;;;ce.0320282H@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320412600022;106;;43.52221031697098,0.7646297947036158;SANS OBJET;Gers;Toulouse;Occitanie;519230.5;6271795.9;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Sud;43.52221031697098;0.7646297947036158;Rue;1968-11-27;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320608M;;;16112;AUCH
0320291T;Ecole primaire publique;Ecole;Public;AU VILLAGE;;32600 SEGOUFIELLE;32600;32425;Ségoufielle;032;16;76;1;1;;;;0562071533;;;ce.0320291T@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320425800023;161;;43.62924061363548,1.130910569774759;SANS OBJET;Gers;Toulouse;Occitanie;549126.3;6282918.3;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.62924061363548;1.130910569774759;Ville;1968-11-29;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320740F;;;16112;AUCH
0320294W;Ecole primaire publique;Ecole;Public;LE BOURG;;32700 SEMPESSERRE;32700;32429;Sempesserre;032;16;76;1;1;;;;0562687330;;;ce.0320294W@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320429000026;48;;44.01529572748515,0.6484299126529967;SANS OBJET;Gers;Toulouse;Occitanie;511468.0;6326840.2;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;44.01529572748515;0.6484299126529967;Ville;1968-12-05;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320017V;;;16113;CONDOM
0320301D;Ecole primaire publique;Ecole;Public;4 place du foyer rural;;32120 SOLOMIAC;32120;32436;Solomiac;032;16;76;1;1;;;;0562650184;;;ce.0320301D@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320436500059;55;;43.80729425695591,0.8968335905177476;SANS OBJET;Gers;Toulouse;Occitanie;530762.7;6303173.9;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.80729425695591;0.8968335905177476;Numéro de rue;1968-11-29;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;032116;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320021Z;;;16112;AUCH
0320327G;Ecole élémentaire publique;Ecole;Public;17 avenue de Gascogne;;32730 VILLECOMTAL SUR ARROS;32730;32464;Villecomtal-sur-Arros;032;16;76;0;1;;;;0562648884;;;ce.0320327G@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320464700043;94;;43.40243743744349,0.1998202713195137;SANS OBJET;Gers;Toulouse;Occitanie;473100.8;6259947.7;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Sud;43.40243743744349;0.1998202713195137;Numéro de rue;1968-12-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320074G;;;16112;AUCH
0320342Y;Ecole primaire publique;Ecole;Public;Rue 3 RUE JEAN DUCASSE;;32330 GONDRIN;32330;32149;Gondrin;032;16;76;1;1;;;;0562291034;;;ce.0320342Y@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320149400043;77;;43.88186177235508,0.2367601038202687;SANS OBJET;Gers;Toulouse;Occitanie;477957.0;6313091.6;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.88186177235508;0.2367601038202687;Rue;1968-12-02;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;032225;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320011N;;;16113;CONDOM
0320351H;Ecole primaire publique;Ecole;Public;Avenue Georges Clemenceau;;32300 L ISLE DE NOE;32300;32159;L'Isle-de-Noé;032;16;76;1;1;;;;0562641728;;;ce.0320351H@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320159300026;71;;43.58441220618404,0.4137305696223092;SANS OBJET;Gers;Toulouse;Occitanie;491089.9;6279571.9;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Sud;43.58441220618404;0.4137305696223092;Rue;1968-12-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320035P;;;16112;AUCH
0320385V;Ecole élémentaire publique;Ecole;Public;AU VILLAGE;;32110 ARBLADE LE HAUT;32110;32005;Arblade-le-Haut;032;16;76;0;1;;;;0562090570;;;ce.0320385V@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21320005800021;40;;43.73934790910994,-0.06063007847297694;SANS OBJET;Gers;Toulouse;Occitanie;453457.6;6298147.9;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.73934790910994;-0.06063007847297694;Ville;1968-12-06;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;032218;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320027F;;;16113;CONDOM
0320392C;Ecole élémentaire publique Rouget de Lisle;Ecole;Public;23 rue Rouget de Lisle;;32000 AUCH;32000;32013;Auch;032;16;76;0;1;;;;0562052767;;;ce.0320392C@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21320013200149;113;;43.646323386852146,0.591820596315814;SANS OBJET;Gers;Toulouse;Occitanie;505680.6;6285994.5;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Centre - ASH;43.646323386852146;0.591820596315814;Numéro de rue;1968-11-25;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320006H;;;16112;AUCH
0320393D;Ecole élémentaire publique Arago;Ecole;Public;1 IMPASSE FERMAT;;32000 AUCH;32000;32013;Auch;032;16;76;0;1;;;;0562051122;;;ce.0320393D@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320013200057;118;;43.65103364210085,0.5835195108799422;SANS OBJET;Gers;Toulouse;Occitanie;505027.0;6286538.2;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Centre - ASH;43.65103364210085;0.5835195108799422;Numéro de rue;1968-11-25;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320562M;;;16112;AUCH
0320396G;Ecole élémentaire publique Jean Jaurès;Ecole;Public;Avenue Sambre et Meuse;;32000 AUCH;32000;32013;Auch;032;16;76;0;1;;;;0562630010;;;ce.0320396G@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21320013200172;128;;43.64300540288659,0.5978096554786854;SANS OBJET;Gers;Toulouse;Occitanie;506152.5;6285611.2;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Centre - ASH;43.64300540288659;0.5978096554786854;Numéro de rue;1968-11-25;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320563N;;;16112;AUCH
0320401M;Ecole maternelle publique Lissagaray;Ecole;Public;Quai des Marronniers;;32000 AUCH;32000;32013;Auch;032;16;76;1;0;;;;0562050158;;;ce.0320401M@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320013200156;64;;43.64654404246175,0.5894695727391838;SANS OBJET;Gers;Toulouse;Occitanie;505491.7;6286024.8;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Centre - ASH;43.64654404246175;0.5894695727391838;Numéro de rue;1968-11-25;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0320563N;;;16112;AUCH
0320418F;Ecole maternelle publique;Ecole;Public;Rue Nouvelle;;32720 BARCELONNE DU GERS;32720;32027;Barcelonne-du-Gers;032;16;76;1;0;;;;0562094213;;;ce.0320418F@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320027200028;45;;43.70337987738398,-0.23339048517288186;SANS OBJET;Gers;Toulouse;Occitanie;439385.2;6294708.7;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.70337987738398;-0.23339048517288186;Numéro de rue;1968-12-06;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0320029H;;;16113;CONDOM
0320478W;Ecole élémentaire publique;Ecole;Public;Rue des Ecoles;;32150 CAZAUBON;32150;32096;Cazaubon;032;16;76;0;1;;;;0562095024;;;ce.0320478W@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320096700049;103;;43.9346628289939,-0.07409943995463153;SANS OBJET;Gers;Toulouse;Occitanie;453217.9;6319877.6;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.9346628289939;-0.07409943995463153;Rue;1968-11-29;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320011N;;;16113;CONDOM
0320494N;Ecole élémentaire publique Jules Ferry;Ecole;Public;21 rue Jules Ferry;;32100 CONDOM;32100;32107;Condom;032;16;76;0;1;;;;0562280358;;;ce.0320494N@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320107200054;123;;43.96042070662996,0.3724999392077969;SANS OBJET;Gers;Toulouse;Occitanie;489150.8;6321443.7;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.96042070662996;0.3724999392077969;Numéro de rue;1968-12-02;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320010M;;;16113;CONDOM
0320506B;Ecole primaire publique;Ecole;Public;AU VILLAGE;;32810 DURAN;32810;32117;Duran;032;16;76;1;1;;;;0562053624;;;ce.0320506B@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320117100021;107;;43.66877291633433,0.5643301074464664;SANS OBJET;Gers;Toulouse;Occitanie;503540.0;6288556.3;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Centre - ASH;43.66877291633433;0.5643301074464664;Ville;1968-11-26;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320562M;;;16112;AUCH
0320510F;Ecole maternelle publique Beausoleil;Ecole;Public;Avenue des Fleurs;;32800 EAUZE;32800;32119;Eauze;032;16;76;1;0;;;;0562098334;;;ce.0320510F@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320119700067;99;;43.85646268906361,0.10309015823682266;SANS OBJET;Gers;Toulouse;Occitanie;467117.0;6310656.1;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.85646268906361;0.10309015823682266;Numéro de rue;1968-12-04;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0320011N;;;16113;CONDOM
0320574A;Ecole primaire privée Saint-Taurin;Ecole;Privé;7 place Saint Taurin;;32800 EAUZE;32800;32119;Eauze;032;16;76;1;1;;;;0562098047;;;ce.0320574A@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;77699988000029;177;;43.861510119349646,0.10048056968054618;CONTRAT D'ASSOCIATION TOUTES CLASSES;Gers;Toulouse;Occitanie;466927.9;6311224.3;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.861510119349646;0.10048056968054618;Numéro de rue;1971-02-22;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0320010M;;;16113;CONDOM
0320581H;Ecole primaire privée Sainte-Germaine;Ecole;Privé;4 rue du Château;;32130 SAMATAN;32130;32410;Samatan;032;16;76;1;1;;;;0562625012;;;ce.0320581H@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;77703426500010;115;;43.492512025945516,0.9285200382477531;CONTRAT D'ASSOCIATION TOUTES CLASSES;Gers;Toulouse;Occitanie;532394.2;6268134.7;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.492512025945516;0.9285200382477531;Numéro de rue;1971-02-19;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0320056M;;;16112;AUCH
0320584L;Ecole élémentaire publique Marie Sklodowska-Curie;Ecole;Public;Rue Jeanne d'Albret;;32000 AUCH;32000;32013;Auch;032;16;76;0;1;;;;0562630701;;;ce.0320584L@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;REP;;21320013200107;108;;43.635972233297586,0.596960331102503;SANS OBJET;Gers;Toulouse;Occitanie;506060.2;6284832.0;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Centre - ASH;43.635972233297586;0.596960331102503;Numéro de rue;1972-10-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320006H;;;16112;AUCH
0320590T;Ecole primaire publique;Ecole;Public;Avenue Roger Lacroix;;32480 LA ROMIEU;32480;32345;La Romieu;032;16;76;1;1;;;;0562280240;;;ce.0320590T@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320345800020;32;;43.98160184405706,0.49455053139691346;SANS OBJET;Gers;Toulouse;Occitanie;499016.3;6323477.7;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.98160184405706;0.49455053139691346;Numéro de rue;1972-10-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0320010M;;;16113;CONDOM
0320595Y;Ecole maternelle publique;Ecole;Public;5 rue de la Poste;;32310 VALENCE SUR BAISE;32310;32459;Valence-sur-Baïse;032;16;76;1;0;;;;0562285183;;;ce.0320595Y@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320459700024;35;;43.882187942211566,0.38238955250243;SANS OBJET;Gers;Toulouse;Occitanie;489656.0;6312729.1;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Nord;43.882187942211566;0.38238955250243;Numéro de rue;1974-09-25;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0320010M;;;16113;CONDOM
0320642Z;Ecole maternelle publique;Ecole;Public;5 rue Lamartine;;32550 PAVIE;32550;32307;Pavie;032;16;76;1;0;;;;0562054593;;;ce.0320642Z@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320307800034;66;;43.6070696098668,0.5915496507533676;SANS OBJET;Gers;Toulouse;Occitanie;505525.7;6281634.6;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Sud;43.6070696098668;0.5915496507533676;Numéro de rue;1977-09-20;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0320006H;;;16112;AUCH
0320715D;Ecole maternelle publique;Ecole;Public;1 AVENUE DU DOCTEUR RAYNAUD;;32220 LOMBEZ;32220;32213;Lombez;032;16;76;1;0;;;;0562624249;;;ce.0320715D@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21320213800060;80;;43.470868482703374,0.9200403941073299;SANS OBJET;Gers;Toulouse;Occitanie;531644.9;6265747.9;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.470868482703374;0.9200403941073299;Numéro de rue;2001-09-01;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0320031K;;;16112;AUCH
0320717F;Ecole maternelle publique;Ecole;Public;Avenue Victor Capoul;;32600 PUJAUDRAN;32600;32334;Pujaudran;032;16;76;1;0;;;;0562074264;;;ce.0320717F@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21320334200042;72;;43.59066721914509,1.1488695823421267;SANS OBJET;Gers;Toulouse;Occitanie;550475.2;6278598.3;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.59066721914509;1.1488695823421267;Numéro de rue;2002-09-01;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0320740F;;;16112;AUCH
0320741G;notre dame divine bergere;Ecole;Privé;Hameau d''Aurenque hameau d''Aurenque;;32500 CASTELNAU D ARBIEU;32500;32078;Castelnau-d'Arbieu;032;16;76;0;1;;;;;;;divinebergere@yahoo.com;0;0;0;;;;;;;;;;;;;;;;;;43.88287139981749,0.7039595741119987;HORS CONTRAT;Gers;Toulouse;Occitanie;515490.9;6312001.0;EPSG:2154;Circonscription d'inspection du 1er degré d'Auch Est;43.88287139981749;0.7039595741119987;Ville;2017-09-01;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;16113;CONDOM
0340143W;Ecole primaire les Cauquillats;Ecole;Public;7 avenue du Général de Gaulle;;34230 ADISSAN;34230;34002;Adissan;034;11;76;1;1;;;;0467252338;;;ce.0340143W@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340002100027;151;;43.536120818579846,3.4289399493824013;SANS OBJET;Hérault;Montpellier;Occitanie;734683.5;6270877.3;EPSG:2154;Circonscription d'inspection du 1er degré de Lodève;43.536120818579846;3.4289399493824013;Numéro de rue;1965-07-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340974Z;;;11082;CENTRE HERAULT
0340148B;Ecole élémentaire Jules Verne;Ecole;Public;9 avenue des Cantinières LE CAP D AGDE;;34300 AGDE;34300;34003;Agde;034;11;76;0;1;;;;0679669807;;;ce.0340148B@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340003900086;196;;43.28896412865499,3.5140396366709092;SANS OBJET;Hérault;Montpellier;Occitanie;741743.3;6243446.2;EPSG:2154;Circonscription d'inspection du 1er degré de Pézenas;43.28896412865499;3.5140396366709092;Numéro de rue;1965-07-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0341032M;;;11114;BASSIN DE THAU
0340157L;Ecole élémentaire;Ecole;Public;29 avenue Louis Marres;;34150 ANIANE;34150;34010;Aniane;034;11;76;0;1;;;;0467577183;;;ce.0340157L@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340010400021;193;;43.68466612354079,3.592289803625659;SANS OBJET;Hérault;Montpellier;Occitanie;747767.7;6287471.5;EPSG:2154;Circonscription d'inspection du 1er degré de Gignac;43.68466612354079;3.592289803625659;Numéro de rue;1965-07-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340364L;;;11082;CENTRE HERAULT
0340166W;Ecole primaire;Ecole;Public;36 rue des Ecoles;;34530 AUMES;34530;34017;Aumes;034;11;76;1;1;;;;0467982483;;;ce.0340166W@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340017900023;35;;43.46675893347785,3.4601401095788225;SANS OBJET;Hérault;Montpellier;Occitanie;737251.2;6263182.2;EPSG:2154;Circonscription d'inspection du 1er degré de Lodève;43.46675893347785;3.4601401095788225;Numéro de rue;1965-07-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340037F;;;11082;CENTRE HERAULT
0340169Z;Ecole élémentaire;Ecole;Public;67 quai des Tanneries;;34260 AVENE;34260;34019;Avène;034;11;76;1;1;;;;0467234259;;;ce.0340169Z@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340019500029;9;;43.75781371187497,3.101640050655978;SANS OBJET;Hérault;Montpellier;Occitanie;708186.8;6295426.6;EPSG:2154;Circonscription d'inspection du 1er degré de Bédarieux;43.75781371187497;3.101640050655978;Numéro de rue;1965-07-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340119V;;;11082;CENTRE HERAULT
0340180L;Ecole élémentaire;Ecole;Public;Place des Ecoles;;34540 BALARUC LE VIEUX;34540;34024;Balaruc-le-Vieux;034;11;76;0;1;;;;0467485310;;;ce.0340180L@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340024500048;163;;43.46021445886345,3.6869893886294767;SANS OBJET;Hérault;Montpellier;Occitanie;755622.0;6262588.2;EPSG:2154;Circonscription d'inspection du 1er degré de Frontignan Littoral;43.46021445886345;3.6869893886294767;Numéro de rue;1965-07-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0342224H;;;11114;BASSIN DE THAU
